,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
88,wintege01,1908,WS,DET,AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,26.0,,1.0,1.0,1.0,1.0,6.0,18.0,4.0,1.0,1.0,1.0
89,adamsba01,1909,WS,PIT,NL,75.0,1.0,29.0,38.0,38.0,34.0,1.0,82.0,29.0,16.0,41.0,20.0,32.0,19.0,,1.0,1.0,26.0,1.0,106.0,1.0,15.0,29.0,1.0,1.0
90,camniho01,1909,WS,PIT,NL,1.0,26.0,15.0,13.0,1.0,1.0,1.0,11.0,13.0,20.0,1.0,7.0,7.0,48.0,,1.0,1.0,1.0,1.0,21.0,1.0,18.0,15.0,1.0,1.0
91,donovbi01,1909,WS,DET,AL,26.0,26.0,15.0,26.0,13.0,1.0,1.0,37.0,12.0,16.0,1.0,26.0,21.0,19.0,,1.0,1.0,26.0,1.0,52.0,1.0,12.0,43.0,34.0,1.0
92,leifile01,1909,WS,PIT,NL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,13.0,12.0,20.0,1.0,4.0,1.0,37.0,,1.0,1.0,50.0,1.0,23.0,1.0,15.0,1.0,1.0,18.0
93,maddoni01,1909,WS,PIT,NL,26.0,1.0,1.0,13.0,13.0,1.0,1.0,28.0,18.0,5.0,1.0,7.0,12.0,29.0,,1.0,1.0,1.0,1.0,42.0,1.0,18.0,1.0,1.0,1.0
94,mullige01,1909,WS,DET,AL,50.0,26.0,43.0,38.0,38.0,34.0,1.0,97.0,37.0,31.0,21.0,26.0,58.0,21.0,,1.0,1.0,50.0,1.0,132.0,18.0,40.0,58.0,34.0,1.0
95,phillde01,1909,WS,PIT,NL,1.0,1.0,15.0,1.0,1.0,1.0,1.0,19.0,4.0,1.0,1.0,4.0,7.0,11.0,,1.0,1.0,1.0,1.0,24.0,34.0,1.0,29.0,1.0,1.0
96,summeed01,1909,WS,DET,AL,1.0,50.0,15.0,26.0,1.0,1.0,1.0,23.0,21.0,28.0,21.0,13.0,12.0,39.0,,1.0,41.0,26.0,1.0,42.0,1.0,37.0,29.0,1.0,1.0
97,willeed01,1909,WS,DET,AL,1.0,1.0,15.0,1.0,1.0,1.0,1.0,24.0,6.0,1.0,1.0,1.0,4.0,13.0,,1.0,1.0,50.0,1.0,28.0,18.0,4.0,1.0,1.0,1.0
98,willivi01,1909,WS,PIT,NL,1.0,26.0,15.0,13.0,1.0,1.0,1.0,36.0,16.0,24.0,1.0,26.0,9.0,26.0,,1.0,1.0,26.0,1.0,50.0,18.0,18.0,1.0,1.0,1.0
99,worksra01,1909,WS,DET,AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,9.0,1.0,1.0,7.0,45.0,,1.0,1.0,1.0,1.0,11.0,18.0,6.0,1.0,34.0,1.0
100,bendech01,1910,WS,PHA,AL,26.0,26.0,15.0,26.0,26.0,1.0,1.0,57.0,21.0,16.0,1.0,13.0,41.0,22.0,,1.0,1.0,1.0,1.0,68.0,1.0,15.0,15.0,1.0,18.0
101,brownmo01,1910,WS,CHN,NL,26.0,50.0,29.0,26.0,13.0,1.0,1.0,55.0,37.0,43.0,1.0,23.0,41.0,31.0,,1.0,21.0,1.0,1.0,87.0,18.0,45.0,29.0,1.0,18.0
102,coleki01,1910,WS,CHN,NL,1.0,1.0,1.0,13.0,1.0,1.0,1.0,25.0,16.0,12.0,1.0,10.0,15.0,35.0,,1.0,1.0,26.0,1.0,36.0,1.0,9.0,29.0,1.0,18.0
103,coombja01,1910,WS,PHA,AL,75.0,1.0,29.0,38.0,38.0,1.0,1.0,82.0,38.0,39.0,1.0,44.0,49.0,26.0,,1.0,21.0,1.0,1.0,116.0,1.0,28.0,58.0,67.0,18.0
104,mcintha01,1910,WS,CHN,NL,1.0,26.0,15.0,1.0,1.0,1.0,1.0,17.0,7.0,16.0,21.0,10.0,9.0,22.0,,1.0,1.0,26.0,1.0,24.0,18.0,15.0,1.0,1.0,1.0
105,overaor01,1910,WS,CHN,NL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,10.0,10.0,12.0,1.0,4.0,4.0,55.0,,1.0,1.0,1.0,1.0,15.0,1.0,9.0,29.0,1.0,1.0
106,pfiesja01,1910,WS,CHN,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,16.0,1.0,1.0,4.0,4.0,34.0,,1.0,1.0,1.0,1.0,32.0,18.0,15.0,1.0,1.0,18.0
107,reulbed01,1910,WS,CHN,NL,1.0,1.0,1.0,13.0,1.0,1.0,1.0,7.0,6.0,12.0,1.0,7.0,1.0,43.0,,1.0,1.0,1.0,1.0,11.0,1.0,9.0,15.0,1.0,1.0
108,richile01,1910,WS,CHN,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,26.0,,1.0,1.0,1.0,1.0,5.0,18.0,1.0,1.0,1.0,1.0
109,amesre01,1911,WS,NY1,NL,1.0,26.0,15.0,13.0,1.0,1.0,1.0,25.0,10.0,9.0,1.0,4.0,18.0,20.0,,1.0,1.0,1.0,1.0,34.0,1.0,15.0,15.0,1.0,1.0
110,bendech01,1911,WS,PHA,AL,50.0,26.0,29.0,38.0,38.0,1.0,1.0,79.0,26.0,12.0,1.0,26.0,58.0,18.0,,1.0,21.0,26.0,1.0,104.0,1.0,18.0,15.0,34.0,1.0
111,coombja01,1911,WS,PHA,AL,26.0,1.0,15.0,26.0,13.0,1.0,1.0,61.0,18.0,12.0,1.0,20.0,46.0,18.0,,1.0,1.0,26.0,1.0,74.0,1.0,15.0,29.0,34.0,1.0
112,cranddo01,1911,WS,NY1,NL,26.0,1.0,15.0,1.0,1.0,1.0,1.0,13.0,4.0,1.0,1.0,1.0,7.0,15.0,,1.0,21.0,1.0,1.0,15.0,34.0,1.0,1.0,1.0,1.0
113,marquru01,1911,WS,NY1,NL,1.0,26.0,29.0,26.0,1.0,1.0,1.0,36.0,15.0,9.0,41.0,4.0,24.0,22.0,,1.0,41.0,1.0,1.0,46.0,18.0,18.0,15.0,1.0,1.0
