playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,weight,height,bats,throws
stewabi01,1194.0,28.0,37.0,USA,MI,1889.0,73.0,80.0,USA,MI,170.0,70.0,R,R
stewabr01,1891.0,82.0,8.0,USA,IL,,,,,,195.0,80.0,L,R
stewabu01,1062.0,46.0,47.0,USA,CA,1715.0,46.0,67.0,USA,CA,120.0,70.0,L,R
stewabu02,1228.0,1.0,21.0,USA,NC,1809.0,82.0,8.0,USA,NC,112.0,73.0,L,L
stewach01,1791.0,10.0,60.0,USA,CA,,,,,,189.0,83.0,R,R
stewach02,1913.0,100.0,31.0,USA,GA,,,,,,195.0,73.0,L,R
stewada01,1515.0,10.0,60.0,USA,CA,,,,,,170.0,78.0,R,R
stewadj01,1913.0,91.0,97.0,USA,FL,,,,,,182.0,73.0,L,R
stewafr01,951.0,73.0,24.0,USA,MN,1728.0,28.0,97.0,USA,MN,145.0,75.0,R,R
stewagl01,1018.0,73.0,93.0,USA,TN,1675.0,10.0,34.0,USA,TN,139.0,73.0,R,R
stewaia01,1824.0,28.0,14.0,USA,CA,,,,,,201.0,80.0,L,R
stewaji01,1316.0,46.0,34.0,USA,AL,1876.0,91.0,77.0,USA,FL,126.0,73.0,B,R
stewajo01,653.0,19.0,34.0,USA,NC,550.0,10.0,31.0,USA,OH,139.0,70.0,,R
stewajo02,1747.0,100.0,14.0,USA,KY,,,,,,170.0,80.0,L,L
stewako01,1924.0,82.0,21.0,USA,TX,,,,,,170.0,80.0,R,R
stewale01,885.0,73.0,74.0,USA,TN,1367.0,73.0,84.0,USA,TN,120.0,68.0,R,L
stewama01,763.0,82.0,44.0,USA,TN,804.0,1.0,54.0,USA,TN,145.0,75.0,L,R
stewama02,1040.0,73.0,74.0,USA,AL,1179.0,19.0,67.0,USA,GA,129.0,73.0,R,R
stewane01,1084.0,37.0,67.0,USA,OH,1581.0,46.0,24.0,USA,OH,164.0,75.0,R,R
stewasa01,1482.0,82.0,90.0,USA,NC,1956.0,19.0,4.0,USA,NC,170.0,80.0,R,R
stewasc01,1714.0,64.0,44.0,USA,MA,,,,,,201.0,78.0,R,L
stewash01,1703.0,10.0,80.0,USA,OH,,,,,,139.0,73.0,R,R
stewast01,819.0,1.0,100.0,USA,FL,1447.0,100.0,97.0,USA,FL,120.0,65.0,R,R
stewatu01,774.0,91.0,50.0,USA,MI,724.0,46.0,64.0,USA,IL,129.0,68.0,L,L
stewaza01,1835.0,73.0,90.0,USA,TX,,,,,,176.0,78.0,R,R
stidhph01,1636.0,91.0,57.0,USA,OK,,,,,,145.0,73.0,R,R
stiebda01,1515.0,55.0,70.0,USA,CA,,,,,,151.0,73.0,R,R
stielfr01,896.0,46.0,1.0,USA,PA,1461.0,1.0,18.0,USA,PA,132.0,63.0,L,L
stievjo01,1957.0,37.0,37.0,USA,WI,,,,,,182.0,78.0,R,R
stigmdi01,1283.0,1.0,77.0,USA,MN,,,,,,170.0,80.0,R,L
stilero01,951.0,91.0,54.0,USA,AR,1809.0,55.0,70.0,USA,MO,145.0,75.0,R,R
stillku01,1603.0,46.0,11.0,USA,CA,,,,,,126.0,70.0,B,R
stillro01,1316.0,100.0,8.0,USA,CA,1929.0,1.0,80.0,USA,CA,126.0,70.0,R,R
stillro02,1449.0,1.0,4.0,USA,CA,,,,,,145.0,70.0,L,L
stimacr01,1482.0,91.0,57.0,USA,IL,1836.0,1.0,50.0,San Marino,,151.0,78.0,R,R
stimmar01,587.0,37.0,97.0,USA,MD,1153.0,64.0,57.0,USA,MD,139.0,73.0,R,R
stimsca01,819.0,55.0,57.0,USA,IA,858.0,91.0,27.0,USA,NE,157.0,85.0,B,R
stineha01,531.0,28.0,27.0,USA,PA,979.0,91.0,34.0,USA,PA,,,,L
stinele01,1029.0,91.0,54.0,USA,OK,1782.0,37.0,18.0,USA,CA,151.0,70.0,R,R
stinnke01,1658.0,10.0,44.0,USA,OK,,,,,,164.0,70.0,R,R
stinsbo01,1382.0,82.0,34.0,USA,NC,,,,,,145.0,70.0,B,R
stinsjo01,1857.0,19.0,44.0,USA,LA,,,,,,182.0,83.0,R,R
stirega01,321.0,82.0,41.0,USA,NJ,818.0,46.0,41.0,USA,IL,145.0,63.0,L,R
stirnsn01,1084.0,82.0,84.0,USA,NY,1153.0,73.0,47.0,USA,NJ,139.0,63.0,R,R
stitema01,1879.0,37.0,90.0,USA,MO,,,,,,176.0,70.0,L,R
stiveja01,531.0,19.0,100.0,USA,PA,778.0,28.0,57.0,USA,PA,151.0,78.0,R,R
stjohlo01,1913.0,1.0,100.0,USA,AL,,,,,,176.0,75.0,L,L
stobbch01,1205.0,55.0,4.0,USA,WV,1822.0,55.0,34.0,USA,FL,151.0,75.0,L,L
stockke01,1658.0,10.0,41.0,USA,WA,,,,,,142.0,73.0,B,R
stockle01,432.0,64.0,80.0,USA,IL,443.0,1.0,90.0,USA,CA,126.0,70.0,R,R
stockme01,1769.0,64.0,47.0,USA,AZ,,,,,,115.0,65.0,L,R
stockmi01,808.0,55.0,34.0,USA,IL,1407.0,55.0,50.0,USA,AL,112.0,63.0,R,R
stockot01,565.0,64.0,21.0,USA,MD,818.0,19.0,47.0,USA,NJ,145.0,68.0,L,R
stockph01,1769.0,1.0,80.0,United Kingdom,Greater Manchester,,,,,,220.0,93.0,R,R
stockro01,1868.0,91.0,67.0,USA,WA,,,,,,187.0,75.0,L,R
stockwe01,1261.0,28.0,31.0,USA,WA,,,,,,155.0,78.0,R,R
stodd01,,,,,,,,,,,,,,
stoddbo01,1515.0,19.0,24.0,USA,CA,,,,,,157.0,75.0,R,R
stoddti01,1471.0,1.0,77.0,USA,IN,,,,,,207.0,90.0,R,R
stokeal01,885.0,1.0,1.0,USA,IL,1528.0,100.0,60.0,USA,NH,139.0,65.0,R,R
stokear01,841.0,73.0,41.0,USA,MD,1206.0,46.0,4.0,USA,PA,114.0,68.0,R,R
stokebr01,1758.0,73.0,21.0,USA,CA,,,,,,182.0,75.0,R,R
stoketr01,1946.0,10.0,4.0,USA,MD,,,,,,176.0,65.0,R,R
stonear01,797.0,82.0,27.0,USA,NY,1019.0,55.0,93.0,USA,NY,145.0,73.0,R,L
stonebi01,1371.0,28.0,21.0,USA,IL,,,,,,132.0,68.0,R,R
stonede01,1216.0,73.0,1.0,USA,IL,1956.0,64.0,67.0,USA,IL,176.0,83.0,L,L
stonedi01,1007.0,100.0,14.0,USA,OK,1447.0,10.0,57.0,USA,OK,111.0,65.0,L,L
stonedw01,730.0,64.0,4.0,USA,NE,1394.0,46.0,8.0,USA,CA,132.0,75.0,R,R
stonege01,620.0,73.0,8.0,USA,IA,979.0,1.0,8.0,USA,IA,139.0,65.0,L,L
stonege02,1393.0,55.0,27.0,USA,LA,,,,,,176.0,80.0,L,L
stonege03,1371.0,1.0,50.0,USA,CA,1836.0,19.0,1.0,USA,CO,157.0,70.0,L,L
stoneje01,1548.0,100.0,84.0,USA,MO,,,,,,139.0,73.0,L,R
stonejo01,940.0,82.0,31.0,USA,TN,1112.0,91.0,97.0,USA,TN,142.0,75.0,L,R
stonejo02,973.0,91.0,24.0,USA,IL,1769.0,1.0,1.0,USA,OK,130.0,65.0,L,R
stoneli01,874.0,10.0,90.0,USA,TX,1260.0,46.0,84.0,USA,OK,145.0,65.0,R,R
stoneri01,1714.0,10.0,90.0,USA,OH,,,,,,132.0,75.0,R,R
stonero01,1084.0,64.0,74.0,USA,CA,1528.0,91.0,37.0,USA,CA,170.0,73.0,R,R
stonero02,1349.0,73.0,27.0,USA,CA,,,,,,151.0,78.0,L,L
stonest01,1404.0,55.0,44.0,USA,OH,,,,,,139.0,68.0,R,R
stoneti01,896.0,73.0,57.0,USA,GA,1179.0,1.0,1.0,USA,FL,101.0,63.0,R,R
stoneto01,1813.0,100.0,8.0,Germany,Rhineland-Palatinate,,,,,,189.0,78.0,B,R
stoopji01,1681.0,46.0,97.0,USA,NJ,,,,,,145.0,78.0,R,R
storedr01,1846.0,64.0,34.0,USA,IN,,,,,,170.0,75.0,B,R
storemi01,1835.0,19.0,50.0,USA,FL,,,,,,151.0,75.0,R,R
storiho01,1007.0,37.0,47.0,USA,MA,1287.0,55.0,87.0,USA,MA,139.0,68.0,R,R
storkal01,708.0,73.0,87.0,USA,NY,510.0,19.0,57.0,USA,MA,,75.0,R,R
stortli01,951.0,100.0,14.0,USA,CA,1474.0,55.0,77.0,USA,CA,126.0,70.0,B,R
storytr01,1902.0,91.0,47.0,USA,TX,,,,,,186.0,78.0,R,R
stottbr01,1957.0,82.0,18.0,USA,NV,,,,,,170.0,80.0,L,R
stottme01,1338.0,91.0,41.0,USA,MO,1969.0,1.0,41.0,USA,WA,142.0,75.0,R,R
stottme02,1581.0,100.0,90.0,USA,WA,,,,,,157.0,73.0,R,R
stottto01,1603.0,37.0,64.0,USA,WA,,,,,,164.0,80.0,L,R
stoucto01,542.0,100.0,4.0,USA,OH,1126.0,82.0,21.0,USA,PA,126.0,78.0,R,R
stoutal01,929.0,82.0,100.0,USA,IL,1367.0,100.0,70.0,USA,MO,129.0,68.0,R,R
stouter01,1913.0,19.0,87.0,USA,IL,,,,,,176.0,80.0,L,L
stovada01,1692.0,1.0,8.0,USA,MO,,,,,,151.0,75.0,B,L
stovage01,631.0,91.0,74.0,USA,MO,1059.0,91.0,14.0,USA,IA,145.0,78.0,R,R
stovaje01,609.0,55.0,77.0,USA,MO,1112.0,55.0,37.0,USA,CA,139.0,73.0,L,R
stoveha01,399.0,100.0,64.0,USA,PA,871.0,73.0,64.0,USA,MA,139.0,70.0,R,R
