,playerID,yearID,stint,Glf,Gcf,Grf
6701,collizi01,1916,1.0,27.0,28.0,28.0
6702,comptpe01,1916,1.0,4.0,27.0,2.0
6703,comptpe01,1916,26.0,1.0,1.0,6.0
6704,connojo04,1916,1.0,15.0,5.0,13.0
6705,cookdo01,1916,1.0,1.0,1.0,4.0
6706,coopecl01,1916,1.0,16.0,14.0,2.0
6707,coopewi01,1916,1.0,2.0,1.0,1.0
6708,costeda01,1916,1.0,34.0,2.0,8.0
6709,coumbfr01,1916,1.0,1.0,1.0,2.0
6710,craftmo01,1916,1.0,1.0,2.0,1.0
6711,cravaga01,1916,1.0,1.0,1.0,130.0
6712,crawfsa01,1916,1.0,2.0,1.0,79.0
6713,cruiswa01,1916,1.0,2.0,2.0,1.0
6714,daltoja01,1916,1.0,2.0,1.0,4.0
6715,dalyto02,1916,1.0,1.0,1.0,2.0
6716,divismo01,1916,1.0,2.0,1.0,1.0
6717,emmerfr01,1916,1.0,3.0,1.0,1.0
6718,englecl01,1916,1.0,1.0,1.0,2.0
6719,farmeja01,1916,1.0,9.0,1.0,8.0
6720,felscha01,1916,1.0,1.0,141.0,1.0
6721,fishebo01,1916,1.0,2.0,1.0,1.0
6722,fitzped01,1916,1.0,3.0,4.0,24.0
6723,flackma01,1916,1.0,1.0,1.0,136.0
6724,fosteru01,1916,1.0,1.0,1.0,1.0
6725,fournja01,1916,1.0,2.0,1.0,1.0
6726,gandybo01,1916,1.0,1.0,2.0,1.0
6727,gilhofr01,1916,1.0,1.0,3.0,56.0
6728,goodwi01,1916,1.0,10.0,2.0,37.0
6729,graneja01,1916,1.0,154.0,1.0,1.0
6730,griffto01,1916,1.0,1.0,1.0,155.0
6731,grimmch01,1916,1.0,4.0,2.0,4.0
6732,harpege02,1916,1.0,3.0,5.0,9.0
6733,hartzro01,1916,1.0,12.0,2.0,17.0
6734,heilmha01,1916,1.0,6.0,7.0,67.0
6735,hendrti01,1916,1.0,1.0,1.0,16.0
6736,henriol01,1916,1.0,15.0,8.0,10.0
6737,herzobu01,1916,1.0,2.0,1.0,1.0
6738,hickmji01,1916,1.0,3.0,2.0,1.0
6739,highhu01,1916,1.0,107.0,3.0,2.0
6740,hinchbi01,1916,1.0,24.0,1.0,101.0
6741,hofmaso01,1916,1.0,1.0,7.0,1.0
6742,hofmaso01,1916,26.0,5.0,1.0,1.0
6743,hoopeha01,1916,1.0,1.0,1.0,151.0
6744,huhnem01,1916,1.0,1.0,1.0,2.0
6745,jacksjo01,1916,1.0,131.0,2.0,24.0
6746,jacobme01,1916,1.0,1.0,1.0,5.0
6747,jamiech01,1916,1.0,25.0,3.0,16.0
6748,johnsbi02,1916,1.0,1.0,5.0,1.0
6749,johnsji01,1916,1.0,9.0,46.0,56.0
6750,jonessa01,1916,1.0,2.0,1.0,1.0
6751,kauffbe01,1916,1.0,1.0,154.0,1.0
6752,kavanma01,1916,1.0,2.0,1.0,11.0
6753,kellyge01,1916,1.0,1.0,3.0,6.0
6754,kellyjo03,1916,1.0,17.0,26.0,7.0
6755,killere01,1916,1.0,44.0,28.0,1.0
6756,kingle01,1916,1.0,22.0,3.0,2.0
6757,kingle02,1916,1.0,3.0,1.0,5.0
6758,knabeot01,1916,26.0,1.0,1.0,2.0
6759,lajoina01,1916,1.0,3.0,1.0,1.0
6760,lannire01,1916,1.0,8.0,1.0,7.0
6761,lawryot01,1916,1.0,4.0,3.0,1.0
